-1.7283,-4.7942,-19.499556679,-89.7658,-8.1482,42.7845,2018-01-19 06:15:21.650Z,Ax = -0.0254	Ay = -0.0963	Az = -0.2690	ypr = (42.7845   -8.1482   -89.7658)
-1.6573,-3.9888,-20.489170155,-103.2976,-10.2261,39.1573,2018-01-19 06:15:21.746Z,Ax = -0.0283	Ay = -0.0764	Az = -0.2892	ypr = (39.1573   -10.2261   -103.2976)
-1.6858,-3.9924,-19.713929645,-110.4756,-10.5113,33.2077,2018-01-19 06:15:21.848Z,Ax = -0.0254	Ay = -0.0532	Az = -0.2882	ypr = (33.2077   -10.5113   -110.4756)
-0.8799,-3.4609,-21.119011763,-108.7254,-8.5780,27.7044,2018-01-19 06:15:21.945Z,Ax = -0.0173	Ay = -0.0453	Az = -0.2939	ypr = (27.7044   -8.5780   -108.7254)
-0.5493,-4.3886,-20.328969912,-95.7024,-6.8418,21.5919,2018-01-19 06:15:22.048Z,Ax = -0.0113	Ay = -0.0561	Az = -0.2906	ypr = (21.5919   -6.8418   -95.7024)
0.1112,-4.9362,-20.594055723,-69.4338,-4.0694,15.7028,2018-01-19 06:15:22.148Z,Ax = -0.0018	Ay = -0.0645	Az = -0.2944	ypr = (15.7028   -4.0694   -69.4338)
-1.6571,-4.2657,-19.271635771,-49.7516,-2.3163,20.6630,2018-01-19 06:15:22.247Z,Ax = -0.0105	Ay = -0.0649	Az = -0.2829	ypr = (20.6630   -2.3163   -49.7516)
-1.9062,-4.4615,-16.085690513,-31.6999,-0.5925,23.6753,2018-01-19 06:15:22.345Z,Ax = -0.0199	Ay = -0.0659	Az = -0.2514	ypr = (23.6753   -0.5925   -31.6999)
0.2035,-2.1518,-19.999556271,-19.3811,-2.1460,24.5152,2018-01-19 06:15:22.445Z,Ax = -0.0141	Ay = -0.0456	Az = -0.2603	ypr = (24.5152   -2.1460   -19.3811)
-1.9220,-2.3731,-19.928965422,-4.9209,-2.6447,27.8989,2018-01-19 06:15:22.549Z,Ax = -0.0208	Ay = -0.0354	Az = -0.2668	ypr = (27.8989   -2.6447   -4.9209)
-1.9770,-2.9731,-19.636891912,1.3166,-0.8505,29.9516,2018-01-19 06:15:22.650Z,Ax = -0.0193	Ay = -0.0325	Az = -0.2845	ypr = (29.9516   -0.8505   1.3166)
-2.1898,-2.0357,-19.205881343,3.5953,1.4274,32.8122,2018-01-19 06:15:22.745Z,Ax = -0.0301	Ay = -0.0306	Az = -0.2839	ypr = (32.8122   1.4274   3.5953)
-3.5584,-1.0098,-19.844693670,3.6844,3.0792,34.4010,2018-01-19 06:15:22.848Z,Ax = -0.0453	Ay = -0.0248	Az = -0.2782	ypr = (34.4010   3.0792   3.6844)
-3.4610,0.8991,-19.792889992,3.8003,0.9983,34.9540,2018-01-19 06:15:22.946Z,Ax = -0.0487	Ay = -0.0014	Az = -0.2771	ypr = (34.9540   0.9983   3.8003)
-2.9181,1.2603,-19.887600253,2.4099,-1.9297,35.5333,2018-01-19 06:15:23.046Z,Ax = -0.0479	Ay = 0.0165	Az = -0.2830	ypr = (35.5333   -1.9297   2.4099)
-3.0792,-0.7274,-20.964672987,6.8098,-1.1280,37.3498,2018-01-19 06:15:23.147Z,Ax = -0.0459	Ay = 0.0091	Az = -0.2921	ypr = (37.3498   -1.1280   6.8098)
-4.1548,-1.1744,-20.202321778,32.5898,-0.0628,39.9239,2018-01-19 06:15:23.249Z,Ax = -0.0502	Ay = -0.0063	Az = -0.2901	ypr = (39.9239   -0.0628   32.5898)
